char_len,latency_ms
163,15988.1
32,2368.4
14,1907.1
8,1430.5
49,2255.0
23,3248.7
34,1535.5
6,1988.8
11,1788.3
8,2492.2
12,2242.7
24,1902.4
3,3890.0
12,4251.7
35,2841.7
17,2758.6
17,2705.5
511,3613.7
44,2352.0
13,1816.9
14,2012.8
12,1997.2
5,2275.5
4,749.1
20,8388.7
49,2132.5
11,965.9
9,3237.1
33,15483.5
26,2456.0
14,2562.6
14,3618.0
18,672.8
16,550.8
23,6300.9
5,1902.0
15,2808.9
41,475.3
14,371.5
47,15473.4
43,4087.4
22,4310.0
20,3472.6
17,3777.3
21,5385.6
31,5785.6
38,4315.6
29,437.3
13,4490.2
23,3047.7
21,3175.7
30,3105.7
13,2113.1
15,2285.3
10,1919.6
31,233.7
82,15935.6
29,414.2
12,2560.9
44,15590.3
45,3990.2
24,237.3
22,4997.3
1,768.5
39,1274.2
11,3219.9
10,2044.5
5,2233.1
18,388.7
32,3337.6
14,500.1
54,3474.0
37,15622.1
17,3464.6
98,288.3
18,6093.2
30,15642.8
8,1921.6
16,50.0
107,15524.5
44,2518.2
51,3273.6
18,551.3
1,143.6
13,279.6
14,5214.8
5,1540.6
37,3643.3
6,5474.5
6,1240.4
3,2360.5
17,5551.0
38,655.8
18,529.6
16,1678.5
62,15649.3
13,274.8
52,15605.8
13,1669.6
30,1714.4
17,15795.9
3,1706.0
13,1331.9
29,1302.0
4,1243.7
13,2915.2
22,2223.0
8,5151.5
51,15555.1
130,15614.0
13,538.6
29,6526.4
15,6630.9
48,5705.6
53,803.5
12,2549.7
14,15870.3
57,337.3
14,4029.8
6,724.9
25,6512.1
16,6506.3
112,2409.0
13,2633.1
12,5516.0
41,5669.8
42,6090.5
50,2184.4
14,2334.5
10,156.9
6,4549.3
28,3191.9
14,6270.1
14,3054.9
16,174.4
4,4264.1
55,15777.9
13,2714.7
14,2429.4
11,3893.3
23,4240.2
25,1330.3
6,2806.2
19,4259.4
22,2121.8
13,5049.4
41,555.8
22,2690.2
29,5604.3
17,356.0
23,5172.6
78,15635.2
14,2748.4
14,5686.6
24,2817.3
12,3685.2
26,2202.9
9,2315.4
94,16351.5
14,4856.6
32,5472.3
38,5653.4
31,5625.5
33,3401.0
13,1854.3
3,2275.6
27,2829.9
5,4204.7
5,1332.2
8,1992.7
43,3433.6
26,4799.0
59,5729.4
63,2058.0
37,4515.3
4,4902.7
35,2532.8
18,2172.2
5,1774.6
28,3007.8
14,2039.0
14,6205.0
6,1948.6
26,383.1
16,660.7
29,3105.5
4,1406.2
2,236.0
2,2703.6
15,2317.2
8,1749.5
16,1588.8
7,1465.9
2,2737.9
14,1492.7
3,2099.0
4,1734.5
3,1379.1
11,1794.3
2,1715.1
4,2100.2
42,16179.0
4,2116.5
59,3950.8
15,4046.0
18,2262.6
13,4287.8
4,1705.9
8,2262.9
6,1937.7
12,157.9
26,15818.2
13,2203.7
5,244.0
10,1352.9
6,6725.4
50,9007.6
16,1291.1
1,1548.4
14,3631.0
21,3711.0
23,6936.2
7,2167.3
20,2001.3
6,2060.7
6,1416.2
1,1649.4
15,15626.0
14,330.3
3,1265.3
19,2832.9
25,223.5
14,5789.7
40,2583.1
8,1510.8
16,7253.1
56,2500.9
9,2193.2
10,196.3
22,1561.2
6,1283.8
4,1741.4
21,1488.3
8,1627.3
18,4.0
6,2104.7
12,1523.3
7,2072.8
9,1467.0
2,1334.6
6,1619.8
17,1769.2
6,1182.3
6,1700.6
66,111.4
19,1960.1
10,3533.1
29,7938.1
62,122.7
10,2497.2
16,5257.1
41,7750.2
58,2171.9
26,15788.2
