char_len,latency_ms
6,16754.9
38,4907.2
6,17403.7
20,4518.3
6,3322.6
11,4153.6
15,18234.5
25,4365.8
37,5318.7
24,3695.0
28,4374.2
73,6112.1
11,6330.3
12,4470.0
5,2863.2
12,3868.9
30,5236.9
25,5280.6
13,4229.6
26,2598.3
29,5402.0
56,2233.1
24,2298.2
9,2095.9
6,2119.8
26,2608.0
19,2667.6
43,4692.7
4,2698.3
31,3472.7
19,3129.2
17,3160.0
31,3898.6
25,3155.3
3,1849.0
4,2051.1
11,3109.1
37,5329.1
35,3350.7
19,3960.7
37,3176.0
26,5065.9
2,4601.0
26,5222.2
13,3557.5
30,6199.1
38,12383.4
35,4925.7
4,3644.7
38,16410.6
16,2633.4
6,2895.4
24,4927.4
18,3800.8
8,2410.4
34,2265.3
28,2986.2
12,3507.4
18,2254.9
8,5573.9
28,6654.8
19,2686.7
12,2262.6
16,3777.1
5,2467.8
26,2504.3
5,2075.6
22,3389.4
22,3009.4
30,3076.4
26,3461.0
6,2047.7
45,6854.6
17,4803.1
27,3784.4
6,2081.7
18,2584.8
7,2960.7
33,4273.4
12,3767.4
34,6158.0
26,3598.3
10,3647.0
28,7621.7
25,5694.2
37,8235.8
16,2724.0
106,6261.5
6,3019.6
68,10776.6
28,6508.9
67,8680.3
58,9291.7
45,4325.7
62,10112.8
50,5664.5
44,8176.5
65,10037.0
16,4612.2
11,3848.4
55,4459.5
2,3299.5
23,4074.5
20,6849.8
25,6531.7
48,7003.4
66,6840.8
6,5145.2
22,4521.2
32,7340.0
32,4102.4
8,4172.4
9,3292.2
139,10384.0
27,3403.1
10,2423.5
9,4369.6
31,4922.1
32,4545.2
10,2454.8
122,3235.8
35,3105.8
8,5014.9
6,1516.0
5,1912.3
18,1879.0
25,6106.2
23,2968.6
18,3003.9
16,5741.1
11,2294.9
5,1661.0
56,6758.0
49,5494.3
20,4643.1
36,3893.0
3,1931.0
21,2332.5
14,2079.6
6,3058.6
49,4378.8
18,3623.6
36,5616.8
13,4178.3
27,1493.2
17,2588.2
12,3811.3
11,2072.1
10,2214.6
44,4733.9
2,1539.0
24,2822.3
23,3114.1
14,3189.1
26,4201.2
12,2136.5
17,5295.0
69,5408.7
7,1661.1
8,2368.5
55,7346.1
57,7012.5
64,7172.5
68,7407.8
21,4036.3
25,2274.2
24,4967.9
60,6140.8
4,2398.0
23,1653.1
30,4838.5
4,2272.1
9,2225.0
66,4952.0
9,2786.6
41,7600.5
7,2758.7
48,4201.7
16,6492.0
38,5634.0
20,4067.2
7,2748.7
52,16455.7
5,6165.6
29,4879.6
45,8898.8
44,10129.0
22,5091.4
35,8037.1
53,8199.7
9,3045.0
76,16312.1
13,3125.7
31,3620.6
13,4439.6
19,2656.1
25,4853.7
6,2531.7
62,16256.6
31,2759.0
13,1835.4
5,2608.5
36,3040.1
22,5034.5
9,3338.3
5,3747.1
24,5586.9
17,3894.1
7,3352.9
22,5705.7
34,5496.4
2,4093.4
21,5766.0
35,6264.7
11,2563.4
9,2360.7
2,2700.6
9,3278.5
11,4159.4
10,3131.1
10,2876.4
13,4861.3
16,5576.3
15,4983.6
18,4502.1
9,3374.4
6,2369.8
18,5109.8
6,2614.2
6,2643.5
2,4875.1
15,4997.1
24,6993.8
34,7211.8
6,2888.6
20,2422.2
10,2080.0
7,2159.5
5,1884.5
7,1853.2
6,1526.5
5,2925.2
7,2524.5
19,2399.1
11,5045.6
30,6213.7
45,3791.5
163,15988.1
32,2368.4
14,1907.1
8,1430.5
49,2255.0
23,3248.7
34,1535.5
6,1988.8
11,1788.3
8,2492.2
12,2242.7
24,1902.4
3,3890.0
12,4251.7
35,2841.7
17,2758.6
17,2705.5
511,3613.7
44,2352.0
13,1816.9
14,2012.8
12,1997.2
5,2275.5
4,749.1
20,8388.7
49,2132.5
11,965.9
9,3237.1
33,15483.5
26,2456.0
14,2562.6
14,3618.0
18,672.8
16,550.8
23,6300.9
5,1902.0
15,2808.9
41,475.3
14,371.5
47,15473.4
43,4087.4
22,4310.0
20,3472.6
17,3777.3
21,5385.6
31,5785.6
38,4315.6
29,437.3
13,4490.2
23,3047.7
21,3175.7
30,3105.7
13,2113.1
15,2285.3
10,1919.6
31,233.7
82,15935.6
29,414.2
12,2560.9
44,15590.3
45,3990.2
24,237.3
22,4997.3
1,768.5
39,1274.2
11,3219.9
10,2044.5
5,2233.1
18,388.7
32,3337.6
14,500.1
54,3474.0
37,15622.1
17,3464.6
98,288.3
18,6093.2
30,15642.8
8,1921.6
16,50.0
107,15524.5
44,2518.2
51,3273.6
18,551.3
1,143.6
13,279.6
14,5214.8
5,1540.6
37,3643.3
6,5474.5
6,1240.4
3,2360.5
17,5551.0
38,655.8
18,529.6
16,1678.5
62,15649.3
13,274.8
52,15605.8
13,1669.6
30,1714.4
17,15795.9
3,1706.0
13,1331.9
29,1302.0
4,1243.7
13,2915.2
22,2223.0
8,5151.5
51,15555.1
130,15614.0
13,538.6
29,6526.4
15,6630.9
